<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
5/3/2024,20:45:00,3106.41000000,3118.00000000,3099.21000000,3114.71000000,51943975
5/3/2024,21:00:00,3114.71000000,3126.44000000,3108.45000000,3111.99000000,42891500
5/3/2024,21:15:00,3111.99000000,3115.42000000,3106.44000000,3108.65000000,12922884
5/3/2024,21:30:00,3108.65000000,3108.81000000,3100.00000000,3101.12000000,20544092
5/3/2024,21:45:00,3101.11000000,3105.83000000,3092.20000000,3103.68000000,22390790
5/3/2024,22:00:00,3103.68000000,3109.98000000,3099.12000000,3108.56000000,16016014
5/3/2024,22:15:00,3108.55000000,3111.99000000,3102.23000000,3106.26000000,14500463
5/3/2024,22:30:00,3106.26000000,3115.53000000,3103.25000000,3111.99000000,11886156
5/3/2024,22:45:00,3111.98000000,3113.77000000,3107.02000000,3107.67000000,10133456
5/3/2024,23:00:00,3107.67000000,3111.35000000,3104.34000000,3105.02000000,10544083
5/3/2024,23:15:00,3105.02000000,3107.24000000,3102.63000000,3105.18000000,8916729
5/3/2024,23:30:00,3105.17000000,3111.81000000,3104.04000000,3111.81000000,11527772
5/3/2024,23:45:00,3111.80000000,3119.51000000,3102.99000000,3106.50000000,14709170
5/4/2024,00:00:00,3106.49000000,3108.34000000,3096.96000000,3100.83000000,11216023
5/4/2024,00:15:00,3100.83000000,3102.23000000,3096.60000000,3100.93000000,11490509
5/4/2024,00:30:00,3100.92000000,3106.60000000,3098.58000000,3104.47000000,9777687
5/4/2024,00:45:00,3104.48000000,3124.97000000,3104.47000000,3120.42000000,25356927
5/4/2024,01:00:00,3120.43000000,3124.41000000,3114.10000000,3115.95000000,15229711
5/4/2024,01:15:00,3115.95000000,3115.95000000,3108.70000000,3111.89000000,12689682
5/4/2024,01:30:00,3111.90000000,3129.00000000,3111.20000000,3127.46000000,22908054
5/4/2024,01:45:00,3127.62000000,3128.29000000,3112.62000000,3113.00000000,24124787
5/4/2024,02:00:00,3113.00000000,3114.03000000,3103.74000000,3103.92000000,13205770
5/4/2024,02:15:00,3103.92000000,3105.64000000,3090.75000000,3095.49000000,20477637
5/4/2024,02:30:00,3095.49000000,3103.27000000,3094.73000000,3097.70000000,11782750
5/4/2024,02:45:00,3097.71000000,3101.02000000,3095.20000000,3097.44000000,7266471
5/4/2024,03:00:00,3097.44000000,3102.96000000,3097.13000000,3099.29000000,9169056
5/4/2024,03:15:00,3099.30000000,3105.89000000,3098.00000000,3105.58000000,6967083
5/4/2024,03:30:00,3105.57000000,3112.90000000,3103.82000000,3108.83000000,14016849
5/4/2024,03:45:00,3108.84000000,3110.71000000,3102.80000000,3107.09000000,8454690
5/4/2024,04:00:00,3107.09000000,3111.66000000,3105.12000000,3110.96000000,6126518
5/4/2024,04:15:00,3110.96000000,3122.26000000,3110.14000000,3111.11000000,20025033
5/4/2024,04:30:00,3111.11000000,3113.87000000,3106.40000000,3107.87000000,7139085
